Training Epoch --- Training Accuracy --- Validation Accuracy --- Validation Loss
1	0.463	0.467	15.290
2	0.452	0.465	11.765
3	0.446	0.452	9.367
4	0.445	0.464	7.828
5	0.445	0.465	6.874
6	0.445	0.463	6.251
7	0.448	0.465	5.839
8	0.449	0.465	5.560
9	0.449	0.465	5.359
10	0.450	0.473	5.205
11	0.452	0.473	5.081
12	0.454	0.473	4.974
13	0.456	0.480	4.879
14	0.458	0.481	4.791
15	0.459	0.485	4.709
16	0.461	0.482	4.631
17	0.463	0.485	4.557
18	0.465	0.487	4.484
19	0.466	0.486	4.413
20	0.467	0.488	4.344
21	0.469	0.489	4.276
22	0.472	0.489	4.210
23	0.474	0.492	4.144
24	0.476	0.494	4.080
25	0.478	0.495	4.017
26	0.480	0.496	3.955
27	0.481	0.498	3.894
28	0.483	0.500	3.835
29	0.485	0.501	3.776
30	0.487	0.502	3.717
31	0.490	0.504	3.660
32	0.491	0.504	3.604
33	0.494	0.510	3.549
34	0.496	0.514	3.495
35	0.498	0.509	3.441
36	0.500	0.511	3.388
37	0.501	0.512	3.336
38	0.503	0.510	3.286
39	0.505	0.513	3.236
40	0.507	0.514	3.186
41	0.509	0.515	3.138
42	0.510	0.517	3.092
43	0.512	0.518	3.045
44	0.514	0.519	3.000
45	0.516	0.518	2.955
46	0.517	0.521	2.910
47	0.519	0.527	2.867
48	0.522	0.531	2.824
49	0.523	0.532	2.781
50	0.526	0.533	2.738
51	0.528	0.536	2.697
52	0.530	0.546	2.657
53	0.532	0.548	2.618
54	0.533	0.551	2.580
55	0.536	0.556	2.544
56	0.538	0.557	2.507
57	0.541	0.562	2.472
58	0.543	0.565	2.437
59	0.545	0.568	2.403
60	0.547	0.569	2.370
61	0.549	0.573	2.337
62	0.550	0.568	2.306
63	0.553	0.570	2.275
64	0.556	0.572	2.245
65	0.558	0.573	2.216
66	0.559	0.578	2.187
67	0.562	0.580	2.159
68	0.564	0.581	2.131
69	0.566	0.581	2.104
70	0.567	0.583	2.077
71	0.570	0.584	2.051
72	0.572	0.584	2.026
73	0.574	0.589	2.001
74	0.576	0.592	1.977
75	0.579	0.593	1.954
76	0.580	0.596	1.931
77	0.582	0.600	1.908
78	0.584	0.599	1.886
79	0.585	0.604	1.864
80	0.587	0.607	1.843
